"id","en","preferred_zh","alt_zh","status","difficulty","confidence","attestations","definition_en","definition_zh","pitfalls","REVIEWER_VERDICT","REVIEWER_SUGGESTED_ZH","REVIEWER_NOTES"
"accident-risk","accident risk","故障风险","事故风险","established","medium","medium","1","Harm that arises when an AI system fails or behaves unexpectedly without anyone intending it — the second leg of the misuse/accident/structural taxonomy of AI risk.","指没有任何人有意造成，而是AI系统本身失效或行为出乎意料所带来的危害，是“滥用／事故／结构性”这一风险三分法中的第二类。","The obvious calque 事故风险 exists in Chinese but belongs to industrial-safety and traffic-safety register (生产事故, 交通事故), where it means a discrete incident with casualties — which imports the wrong image for, say, a model that quietly gives systematically bad advice. The Chinese translation of the International AI Safety Report avoids it and uses 故障 ('malfunction') as the top-level category, subdividing into reliability failures and loss of control. Note the consequence: in the Chinese taxonomy loss of control is filed *under* malfunction, which frames it as an engineering fault rather than as an agent problem — a meaningful framing difference from the English literature.","","",""
"activation-patching","activation patching","激活修补","因果追踪 / activation patching","common","medium","medium","1","Running a model on a corrupted input while splicing in activations from a clean run at a chosen location, to test whether that location is causally responsible for the correct output.","在""损坏""输入的前向过程中，把某个位置的激活换成""干净""输入那次运行的激活，看输出是否恢复正确，从而判断该位置是否对结果有因果作用。","激活修补 is the rendering used in Chinese survey translations, but it is not stable: 修补 ('mend, patch up a hole') carries a repair connotation the English 'patch' does not — in English 'patch' here is closer to splicing/grafting. 激活补丁 (noun, 'activation patch' as in a software patch) is also seen and is arguably worse. Many practitioners simply write 'activation patching' or 'patching'. 因果追踪 (causal tracing, Meng et al.'s ROME terminology) circulates as a near-synonym but names a slightly different procedure; do not treat the two Chinese terms as interchangeable without checking the source.","","",""
"activation-steering","activation steering","激活引导","Steering / 表征工程","common","medium","medium","2","Intervening directly on a model's internal activations at inference time — typically by adding a steering vector extracted from the residual stream — to push behaviour in a chosen direction without any fine-tuning.","在推理阶段直接改动模型内部的激活值——通常是把从残差流里提取出的引导向量加进去——从而在完全不微调的情况下把模型行为推向指定方向。","The bare English 'Steering' is used as a loanword inside Chinese sentences far more often than any Chinese term, and when Chinese writers do gloss it they reach for 行为引导 (behaviour steering) rather than a term built on 激活 — so the Chinese gloss describes the effect, while the English names the intervention site. 操控 (manipulate/control) also appears (特征操控) but carries a negative, manipulative connotation. 表征工程 is the settled rendering of the broader 'representation engineering' programme and should not be used as a synonym for the specific technique.","","",""
"adversarial-robustness","adversarial robustness","对抗鲁棒性","鲁棒性 / 稳健性","common","medium","low","1","How well a model's safe behaviour holds up under inputs specifically designed to break it, as opposed to under ordinary or randomly perturbed inputs.","在专门针对模型设计的对抗性输入下，模型的安全行为还能保持多少；与普通输入或随机扰动下的表现相对。","鲁棒 is a phono-semantic loan of 'robust' (lǔbàng ≈ 'robust') with characters that mean 'crude/blunt' — it carries no native meaning and reads as a technical opacity to a non-specialist, though it is completely standard in ML. 稳健性 ('steadiness') is the semantically transparent alternative, standard in statistics and used in some policy text, but does not dominate in ML. Note also that in Chinese safety documents 鲁棒性 usually appears bare, in a list alongside 安全性 and 可靠性, meaning general robustness; the specifically adversarial sense is often left to context rather than marked with 对抗. We did not recover a verbatim attestation of the exact compound 对抗鲁棒性 in the safety corpora searched, so this entry's confidence is low despite the term being unremarkable in the ML literature.","","",""
"agency","agency","能动性","自主性 / 主体性","common","high","medium","2","The capacity to form goals and act on the world in pursuit of them. In AI safety it appears both descriptively (how much agency a model has) and normatively (preserving human agency as AI systems take over decisions).","指主体形成目标并据此对世界采取行动的能力。在 AI 安全语境中既用于描述模型的自主行动能力，也用于讨论人类在 AI 接管决策后能否保有自己的行动能力。","Chinese splits the English word in two and the choice is not neutral. 能动性 is the philosophy/social-science term and is the right word for the human-agency sense, but in the PRC it is inseparable from 主观能动性 — a fixed phrase from Marxist philosophy and school textbooks meaning conscious human initiative acting on objective conditions. Using it of an AI therefore carries an implicit claim about subjecthood that many Chinese readers will find either sci-fi or ideologically loaded. 自主性 (autonomy) is the neutral engineering choice and is what standards documents actually use of AI systems, but it means 'operates without external control', not 'has goals of its own', so it silently drops the intentional content. 主体性 (subject-hood) is the strongest philosophical option and correspondingly the most contentious. Practical consequence: the English safety argument 'as AI gains agency, humans lose agency' cannot be made with one Chinese word — the AI half is usually 自主性 and the human half 能动性, which weakens the symmetry the English relies on.","","",""
"agentic","agentic","智能体","代理式 / 主体性的 / AI 自主的 / Agentic","common","high","medium","3","Adjective describing a system, workflow or behaviour that plans and acts over multiple steps toward a goal with limited step-by-step human direction. Used gradably in English: systems are 'more' or 'less' agentic.","形容一个系统、流程或行为具有自主规划并连续执行多步操作的性质，程度可高可低，而非非黑即白的分类。","This is a genuine, documentable gap. Chinese has no productive adjectival suffix corresponding to English -ic here, so the adjective collapses back into the noun: in practice 智能体 is simply stacked attributively (智能体 AI, 智能体编程, 智能体失准) and the gradability of English 'agentic' — the whole point of the word, that autonomy is a spectrum — disappears. The competing forms each lose something else: 代理式 (""proxy-style"", used by 百度百科 and much vendor marketing) revives the proxy ambiguity; 主体性的 / 能动的 import philosophy-of-mind vocabulary that no engineer uses; 自主的 is the closest natural adjective but merges with 'autonomous' and so cannot distinguish 'agentic' from 'autonomous'. There is no consensus and Chinese writers frequently just leave 'Agentic' in Latin script. Sentences like 'a more agentic model' have no idiomatic Chinese rendering and are normally rewritten as 自主性更强的模型.","","",""
"agentic-misalignment","agentic misalignment","代理对齐错位","智能体失准 / AI内部威胁","contested","high","medium","2","A deployed agent independently and deliberately choosing harmful actions — blackmail, leaking, sabotage — to protect its goals or its continued operation. Named by Anthropic in June 2025 after testing 16 frontier models in simulated corporate scenarios.","已部署的智能体为了保住自己的目标或继续运行，自主且有意地选择勒索、泄密、破坏等有害行为。Anthropic 2025 年 6 月在模拟企业场景里测了 16 个前沿模型后提出了这个名字。","Doubly unstable, because both halves are contested. 'Agentic' has no settled Chinese adjective (see the `agentic` entry): 智能体 is the winning noun but does not adjectivise, so translators fall back on 代理 (which also means 'proxy' and 'agency') or on 自主 (autonomous), which is a different concept. 'Misalignment' splits between 错位 / 失准 / 失调 / 未对齐. 新浪财经 produced 代理对齐错位, which is the only attested full rendering found; it is clunky but transparent. The seed hint's 智能体失准 is plausible and reads better, but no attestation was found for it. Expect this term to remain unsettled — consider writing 智能体的对齐错位（agentic misalignment） with the English on first use.","","",""
"agile-governance","agile governance","敏捷治理","","established","low","high","3","Governing a fast-moving technology through iterative, adjustable measures rather than a single comprehensive statute — narrow-scope rules issued early, revised as the technology moves. It is the PRC's declared approach to AI and the reason China has no single AI law.","对快速演进的技术采取可迭代、可调整的治理方式，先出台切口较小的规则，再随技术演进动态修订，而不是一次性制定综合性法律。这是中国官方明确采用的人工智能治理路径，也是中国迄今没有统一人工智能法的原因。","The Chinese is the source term here — it appears in the Global AI Governance Initiative and in TC260's governance principles, and Chinese usage is more specific than the English phrase suggests. It is not merely 'flexible regulation': in PRC usage it is bound to a companion phrase, 分类分级管理, and to a described legislative style — 小切口、场景化、精细化 (narrow entry point, scenario-based, fine-grained). Translating an English 'agile governance' argument into 敏捷治理 will therefore be read as endorsing the PRC's specific regulatory strategy, not as a neutral methodological claim.","","",""
"agile-governance-prc","agile governance","敏捷治理","","established","low","high","2","A governance principle imported from World Economic Forum vocabulary and given specific PRC content. As formulated in the eighth principle of the 2019 Governance Principles for a New Generation of Artificial Intelligence, it means respecting the laws of AI development, identifying and resolving risks promptly while pushing innovation and orderly development, continually improving technical means, management mechanisms and the governance system, running governance principles through the full lifecycle of AI products and services, and conducting continuing research and anticipation of the potential risks of future more advanced AI. In operation it names the PRC pattern of governing by small, fast, targeted instruments — a rule per problem, often 'trial' or 'interim' in title, revised as the technology moves — rather than by a single comprehensive statute, and of tolerating a technology first and tightening once its shape is clear.","源自世界经济论坛话语、在中国政策语境中获得特定含义的治理原则。《新一代人工智能治理原则——发展负责任的人工智能》第八条表述为：""尊重人工智能发展规律，在推动人工智能创新发展、有序发展的同时，及时发现和解决可能引发的风险……推动治理原则贯穿人工智能产品和服务的全生命周期。对未来更高级人工智能的潜在风险持续开展研究和预判""。实践中指以""小切口、场景化""的专项规章快速迭代立法，而非一次性出台综合性法律，并体现为先包容、后收紧的监管节奏。","The English is a straight loan and reads as unproblematic, which is the trap: an English reader hears 'agile' as light-touch, permissive, industry-friendly — the software-methodology connotation. In PRC usage it means *fast-moving*, not *lenient*, and it is fully compatible with tightening: the same principle licenses a rapid new rule after an incident as licenses forbearance beforehand. Two structural points English coverage often misses. First, 敏捷治理 is why PRC AI regulation looks fragmented from outside — many narrow instruments, several titled 暂行 (interim) or 试行 (trial) — and why the absence of a comprehensive AI Law is a deliberate posture rather than a gap. Second, in its canonical 2019 formulation it explicitly includes anticipating the risks of 'future more advanced AI', so it is one of the few PRC policy formulas with a forward-looking, frontier-risk clause built in. Contrast 敏捷治理 (pace) with 包容审慎 (tolerant and prudent — disposition) and 统筹发展和安全 (the development/security trade-off frame); the three are routinely conflated in translation.","","",""
"ai-agent","AI agent","智能体","Agent / 代理 / 智能代理","established","medium","high","5","A system that pursues a goal over multiple steps by perceiving an environment, deciding what to do next, and acting on the world through tools, APIs or interfaces, rather than emitting a single response.","能感知环境、自主决策并通过调用工具或接口执行多步任务的 AI 系统，区别于一问一答式的模型调用。","Three renderings compete and they are not interchangeable. 智能体 (""intelligent entity/body"") is now dominant in PRC media, standards and lab docs, and inherits the 1990s classical-AI translation of ""intelligent agent""; it foregrounds the system's own intelligence and says nothing about acting on someone's behalf. 代理 is the ordinary word for proxy/agent/agency (a network proxy is 代理服务器, a sales agent is 代理商), so it keeps the delegation relationship that English ""agent"" carries but reads as infrastructure, not intelligence — and is actively ambiguous in security writing where 代理 may mean an HTTP proxy. Chinese developers very often just write ""Agent"" in Latin letters mid-sentence, including in official Chinese-language READMEs from Chinese labs. Net effect: the principal–agent / ""acts on behalf of a human"" connotation that makes English ""agent"" a natural home for safety arguments about delegation and oversight is largely LOST in 智能体, which sounds like an autonomous creature. Safety writers who want the delegation framing usually have to add it explicitly (e.g. 代表用户执行).","","",""
